Date, Open, High, Low, Close
11/02/15,1.1006,1.1054,1.1001,1.1016
11/03/15,1.1017,1.1032,1.0937,1.0964
11/04/15,1.0963,1.097,1.0843,1.0866
11/05/15,1.0868,1.0898,1.0835,1.0883
11/06/15,1.0885,1.0896,1.0708,1.0741
11/09/15,1.0741,1.0791,1.0728,1.0753
11/10/15,1.0752,1.0765,1.0675,1.0724
11/11/15,1.0723,1.0775,1.0707,1.0743
11/12/15,1.0739,1.083,1.0693,1.0815
11/13/15,1.0814,1.0817,1.0715,1.0774
11/16/15,1.0774,1.0774,1.0675,1.0686
11/17/15,1.0687,1.0696,1.0631,1.0643
11/18/15,1.0644,1.0693,1.0617,1.0659
11/19/15,1.066,1.0764,1.0655,1.0735
11/20/15,1.0736,1.074,1.064,1.0647
11/23/15,1.0647,1.066,1.0594,1.0636
11/24/15,1.0637,1.0675,1.062,1.0643
11/25/15,1.0646,1.069,1.0567,1.0626
11/26/15,1.0624,1.0629,1.0599,1.0611
11/27/15,1.0612,1.0639,1.0569,1.0594
11/30/15,1.0594,1.0595,1.0558,1.0564
12/01/15,1.0566,1.0638,1.0563,1.0634
12/02/15,1.0633,1.0641,1.0554,1.0615
12/03/15,1.0615,1.0981,1.0525,1.094
12/04/15,1.0941,1.0956,1.0838,1.0884
12/07/15,1.0884,1.0884,1.0796,1.0837
12/08/15,1.0837,1.0903,1.0831,1.0893
12/09/15,1.0894,1.1042,1.0879,1.1025
12/10/15,1.1026,1.1026,1.0925,1.0942
12/11/15,1.094,1.1032,1.0928,1.0991
12/14/15,1.0991,1.1049,1.0945,1.0993
12/15/15,1.0994,1.106,1.0905,1.0932
12/16/15,1.0933,1.1011,1.089,1.0913
12/17/15,1.0912,1.0916,1.0802,1.0826
12/18/15,1.0821,1.0876,1.0804,1.0868
12/21/15,1.0868,1.094,1.085,1.0916
12/22/15,1.0917,1.0984,1.0903,1.0958
12/23/15,1.0955,1.0959,1.0871,1.0913
12/24/15,1.0914,1.0972,1.0903,1.0964
12/25/15,1.0963,1.1025,1.0913,1.0978
12/28/15,1.0978,1.0994,1.0956,1.0969
12/29/15,1.097,1.0993,1.09,1.092
12/30/15,1.0925,1.0944,1.0902,1.0933
12/31/15,1.0934,1.0939,1.0854,1.086
01/01/16,1.0863,1.0873,1.0853,1.086
01/04/16,1.086,1.0946,1.0782,1.0832
01/05/16,1.0823,1.0839,1.0711,1.0749
01/06/16,1.0748,1.0799,1.0719,1.078
01/07/16,1.0781,1.0941,1.0773,1.0933
01/08/16,1.0932,1.0936,1.0803,1.0925
01/11/16,1.0925,1.0946,1.0849,1.086
01/12/16,1.0859,1.0902,1.082,1.0859
01/13/16,1.086,1.0889,1.0805,1.0877
01/14/16,1.0878,1.0943,1.0835,1.0866
01/15/16,1.0864,1.0985,1.0855,1.0917
01/18/16,1.0917,1.0921,1.087,1.0894
01/19/16,1.0895,1.094,1.0859,1.091
01/20/16,1.0908,1.0978,1.0877,1.0892
01/21/16,1.089,1.0922,1.0779,1.0875
01/22/16,1.0876,1.0877,1.079,1.0798
01/25/16,1.0798,1.0858,1.0795,1.085
01/26/16,1.0851,1.0876,1.0819,1.0871
01/27/16,1.0869,1.0917,1.0851,1.0895
01/28/16,1.0894,1.0967,1.087,1.0939
01/29/16,1.0941,1.095,1.0811,1.0833
02/01/16,1.0833,1.0915,1.0833,1.0888
02/02/16,1.0889,1.0941,1.0885,1.0919
02/03/16,1.092,1.1145,1.0903,1.1103
02/04/16,1.1105,1.124,1.107,1.1211
02/05/16,1.1207,1.1243,1.111,1.1158
02/08/16,1.1158,1.1217,1.1086,1.1193
02/09/16,1.1194,1.1339,1.1163,1.1294
02/10/16,1.1295,1.1312,1.1161,1.1292
02/11/16,1.1293,1.1377,1.1275,1.1324
02/12/16,1.1323,1.1335,1.1215,1.1256
02/15/16,1.1256,1.1256,1.1127,1.1155
02/16/16,1.1157,1.1194,1.1125,1.1144
02/17/16,1.1145,1.1179,1.1106,1.113
02/18/16,1.1128,1.1152,1.1072,1.1108
02/19/16,1.111,1.1139,1.1066,1.1131
02/22/16,1.1131,1.1131,1.1003,1.103
02/23/16,1.1031,1.1053,1.099,1.1019
02/24/16,1.1021,1.1046,1.0959,1.1015
02/25/16,1.1014,1.1052,1.0989,1.1018
02/26/16,1.1019,1.107,1.0913,1.0933
02/29/16,1.0933,1.0963,1.0859,1.0874
03/01/16,1.0875,1.0895,1.0835,1.0869
03/02/16,1.0868,1.0882,1.0825,1.087
03/03/16,1.0868,1.0971,1.0854,1.0957
03/04/16,1.0958,1.1044,1.0865,1.1005
03/07/16,1.1005,1.1027,1.094,1.1012
03/08/16,1.1014,1.1058,1.0995,1.1013
03/09/16,1.1012,1.1037,1.0946,1.0998
03/10/16,1.1001,1.1218,1.0823,1.1181
03/11/16,1.1177,1.1212,1.108,1.1151
03/14/16,1.1151,1.1168,1.1079,1.1104
03/15/16,1.1102,1.1126,1.1073,1.1108
03/16/16,1.111,1.124,1.1058,1.1225
03/17/16,1.1227,1.1343,1.1205,1.132
03/18/16,1.1318,1.1339,1.1257,1.1269
03/21/16,1.1269,1.1286,1.1235,1.1242
03/22/16,1.1241,1.1262,1.1189,1.1218
03/23/16,1.1216,1.1225,1.1159,1.1181
03/24/16,1.1182,1.1188,1.1144,1.1174
03/25/16,1.1177,1.1181,1.1155,1.1167
03/28/16,1.1167,1.122,1.1154,1.1196
03/29/16,1.1197,1.1305,1.117,1.1292
03/30/16,1.1291,1.1365,1.1283,1.1339
03/31/16,1.1338,1.1413,1.1311,1.1381
04/01/16,1.138,1.1438,1.1336,1.1392
04/04/16,1.1392,1.1418,1.1358,1.1392
04/05/16,1.1389,1.1405,1.1337,1.1384
04/06/16,1.1385,1.1432,1.1327,1.1399
04/07/16,1.14,1.1456,1.1339,1.1379
04/08/16,1.1377,1.1421,1.1349,1.1399
04/11/16,1.1399,1.1447,1.1374,1.1408
04/12/16,1.1409,1.1464,1.1346,1.1387
04/13/16,1.1385,1.1393,1.1269,1.1274
04/14/16,1.1275,1.1297,1.1234,1.1268
04/15/16,1.1269,1.1318,1.1246,1.1284
04/18/16,1.1284,1.1333,1.1275,1.1315
04/19/16,1.1314,1.1385,1.1303,1.1359
04/20/16,1.136,1.1386,1.1292,1.1298
04/21/16,1.1297,1.1396,1.1274,1.1288
04/22/16,1.1287,1.1311,1.1219,1.1226
04/25/16,1.1226,1.128,1.1223,1.1268
04/26/16,1.1269,1.134,1.1257,1.1298
04/27/16,1.1299,1.1359,1.1275,1.1322
04/28/16,1.1323,1.1368,1.1297,1.1353
04/29/16,1.1354,1.146,1.1346,1.1449
05/02/16,1.1449,1.1538,1.1448,1.1535
05/03/16,1.1536,1.1618,1.1497,1.1497
05/04/16,1.1498,1.153,1.1468,1.1487
05/05/16,1.1486,1.1496,1.1387,1.1407
05/06/16,1.1406,1.148,1.1387,1.1404
05/09/16,1.1404,1.1421,1.1377,1.1384
05/10/16,1.1383,1.1408,1.136,1.1374
05/11/16,1.1373,1.1448,1.1369,1.1426
05/12/16,1.1425,1.1432,1.137,1.1378
05/13/16,1.1377,1.1381,1.1283,1.1308
05/16/16,1.1308,1.1346,1.1303,1.1321
05/17/16,1.1321,1.1348,1.1302,1.1314
05/18/16,1.1315,1.1321,1.1215,1.1217
05/19/16,1.1219,1.123,1.118,1.1202
05/20/16,1.1203,1.1239,1.1197,1.1225
05/23/16,1.1225,1.1243,1.1187,1.122
05/24/16,1.1221,1.1226,1.1134,1.1141
05/25/16,1.1142,1.1168,1.113,1.1156
05/26/16,1.1155,1.1218,1.1151,1.1195
05/27/16,1.1196,1.1202,1.111,1.1115
